N_out,P_low,P_upp
0,0.9878681192883476,1.0
1,0.9851269712330476,0.9999999949999875
2,0.9827989367244478,0.9999968328051864
3,0.980679731014108,0.9999686527775384
4,0.9786936544843794,0.999892923364773
5,0.9768023774934786,0.999763695294157
6,0.9749832120602362,0.9995837211816005
7,0.9732213765750931,0.9993582262795991
8,0.9715065887599282,0.9990925692438062
9,0.9698313462719294,0.998791548150497
10,0.9681899718858185,0.9984592738365683
11,0.9665780440419094,0.9980992203047135
12,0.9649920378545733,0.9977143186398063
13,0.9634290885112073,0.9973070507430001
14,0.9618868295428803,0.996879530417172
15,0.9603632788505705,0.9964335699782234
16,0.9588567562786998,0.9959707338991856
17,0.9573658226611873,0.9954923817485104
18,0.9558892338646692,0.9949997025769032
19,0.9544259055446795,0.9944937425621283
20,0.9529748857075628,0.9939754273570356
21,0.9515353330606953,0.9934455802704423
22,0.9501064997229538,0.992904937156408
23,0.9486877172664016,0.9923541586894002
24,0.9472783853357171,0.9917938405506794
25,0.9458779622855853,0.9912245219349494
26,0.944485957414648,0.9906466926974453
27,0.9431019244749221,0.9900607993935613
28,0.9417254562093044,0.9894672504107402
29,0.9403561797246177,0.9888664203518477
30,0.938993752548911,0.9882586537977492
31,0.9376378592531011,0.9876442685521644
32,0.9362882085411386,0.9870235584524717
33,0.9349445307315503,0.9863967958147813
34,0.9336065755678004,0.9857642335693527
35,0.9322741103064105,0.98512610713264
36,0.9309469180408974,0.9844826360543493
37,0.9296247962268813,0.9838340254714985
38,0.928307555379584,0.9831804673962684
39,0.9269950179196778,0.9825221418601691
40,0.9256870171473209,0.98185921793355
41,0.9243833963273739,0.9811918546365868
42,0.9230840078713981,0.9805202017554789
43,0.9217887126041951,0.979844400575597
44,0.9204973791044331,0.9791645845416386
45,0.9192098831104025,0.9784808798534574
46,0.917926106983199,0.9777934060050373
47,0.9166459392206826,0.9771022762730852
48,0.9153692740164584,0.9764075981608689
49,0.9140960108588767,0.9757094738021931
50,0.9128260541656971,0.9750080003297973
51,0.911559312950609,0.9743032702119205
52,0.9102957005182756,0.9735953715603256
53,0.909035134184969,0.9728843884126801
54,0.9077775350222179,0.972170400991851
55,0.9065228276211892,0.9714534859443754
56,0.9052709398757876,0.9707337165601106
57,0.9040218027826842,0.9700111629748475
58,0.9027753502566863,0.9692858923574693
59,0.90153151896003,0.9685579690830747
60,0.9002902481443333,0.9678274548933248
61,0.8990514795040794,0.9670944090451501
62,0.8978151570406152,0.9663588884488306
63,0.8965812269357589,0.965620947796362
64,0.8953496374341957,0.9648806396809309
65,0.8941203387339272,0.9641380147082379
66,0.8928932828841082,0.9633931216003394
67,0.8916684236896714,0.9626460072926115
68,0.8904457166221947,0.9618967170243865
69,0.8892251187365205,0.9611452944237558
70,0.8880065885926756,0.9603917815869965
71,0.8867900861826878,0.9596362191530258
72,0.8855755728619288,0.9588786463732648
73,0.8843630112846425,0.9581191011772481
74,0.8831523653433528,0.9573576202342938
75,0.8819436001118702,0.9565942390115183
76,0.8807366817916347,0.9558289918284576
77,0.8795315776611634,0.9550619119085344
78,0.8783282560283833,0.954293031427591
79,0.877126686185651,0.9535223815596896
80,0.8759268383672765,0.952749992520365
81,0.8747286837093806,0.9519758936075032
82,0.8735321942119352,0.9512001132400004
83,0.8723373427028367,0.9504226789943495
84,0.8711441028038875,0.9496436176392883
85,0.8699524488985573,0.948862955168633
86,0.8687623561014151,0.948080716832412
87,0.867573800229126,0.9472969271664071
